#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1818","Paul Duke STEM High School","World History","129","129","103"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","1819","McClure Health Science High School","ALL Subjects","457","1004","528"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Art: Studio 2-D Design","17","17","12"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Biology","61","61","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Calculus A","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Calculus BC","34","34","16"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Capstone","21","21","20"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Capstone Research","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Computer Science A","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Computer Science Principles","20","20","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Economics: Micro","71","71","27"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Eng. Language & Comp","32","32","14"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Eng. Literature & Comp","19","19","13"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Environmental Science","73","73","21"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Geography: Human","88","88","49"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Gov. & Pol. U.S.","71","71","48"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Physics 1","52","52","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Precalculus","80","80","72"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Psychology","90","90","21"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Spanish Language","48","48","45"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Spanish Literature","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","Statistics","32","32","17"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","U.S. History","74","74","54"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1819","McClure Health Science High School","World History","73","73","46"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","1820","Seckinger High School","ALL Subjects","791","1637","1228"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Art: Studio 2-D Design","11","11","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Art: Studio Drawing","11","11","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Biology","35","35","23"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Calculus A","54","54","34"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Calculus BC","45","45","35"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Capstone","40","40","40"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Capstone Research","14","14","13"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Chemistry","25","25","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Computer Science A","21","21","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Computer Science Principles","35","35","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Economics: Micro","41","41","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Eng. Language & Comp","70","70","50"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Eng. Literature & Comp","47","47","28"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Environmental Science","65","65","40"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Geography: Human","151","151","122"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Gov. & Pol. U.S.","59","59","43"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Physics 1","59","59","19"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Physics C: Mechanics","11","11","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Precalculus","273","273","254"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Psychology","145","145","90"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Spanish Language","31","31","27"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","Statistics","55","55","45"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","U.S. History","118","118","85"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","1820","Seckinger High School","World History","220","220","165"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","2058","Snellville Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2058","Snellville Middle School","African American Studies","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2058","Snellville Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2058","Snellville Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","2558","South Gwinnett High School","ALL Subjects","549","968","221"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Calculus A","29","29","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Calculus BC","26","26","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Chemistry","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Computer Science A","20","20","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Computer Science Principles","20","20","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Economics: Micro","65","65","13"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Eng. Language & Comp","100","100","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Eng. Literature & Comp","57","57","21"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Environmental Science","47","47","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Geography: Human","98","98","20"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Gov. & Pol. U.S.","75","75","28"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Physics 1","34","34","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Precalculus","60","60","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Psychology","34","34","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Spanish Language","10","10","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","Statistics","41","41","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","U.S. History","124","124","29"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","2558","South Gwinnett High School","World History","104","104","37"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","3750","Central Gwinnett High School","ALL Subjects","362","686","375"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Art History","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Art: Studio 2-D Design","11","11","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Biology","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Calculus A","29","29","12"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Calculus BC","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Computer Science A","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Computer Science Principles","21","21","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Economics: Micro","26","26","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Eng. Language & Comp","44","44","18"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Eng. Literature & Comp","31","31","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Environmental Science","18","18","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Geography: Human","50","50","20"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Gov. & Pol. U.S.","25","25","18"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Music Theory","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Physics 1","19","19","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Precalculus","114","114","84"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Psychology","71","71","33"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","Statistics","33","33","14"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","U.S. History","54","54","39"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","3750","Central Gwinnett High School","World History","57","57","33"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","4052","Dacula High School","ALL Subjects","512","928","599"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Art: Studio 3-D Design","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Calculus A","16","16","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Calculus BC","18","18","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Computer Science Principles","24","24","12"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Economics: Micro","59","59","24"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Eng. Language & Comp","66","66","49"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Eng. Literature & Comp","55","55","48"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Environmental Science","63","63","29"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Geography: Human","87","87","48"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Gov. & Pol. U.S.","52","52","35"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Physics 1","68","68","22"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Precalculus","19","19","19"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Psychology","66","66","43"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Spanish Language","32","32","21"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","Statistics","27","27","22"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","U.S. History","123","123","98"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4052","Dacula High School","World History","116","116","89"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","4058","Summerour Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4058","Summerour Middle School","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4058","Summerour Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4058","Summerour Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","4556","North Gwinnett High School","ALL Subjects","1486","3597","3115"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Art History","12","12","10"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Art: Studio 2-D Design","30","30","29"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Art: Studio 3-D Design","17","17","13"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Art: Studio Drawing","13","13","12"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Biology","103","103","102"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Calculus A","156","156","136"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Calculus BC","163","163","144"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Capstone","102","102","100"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Capstone Research","43","43","30"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Chemistry","58","58","55"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Chinese Lang. & Culture","13","13","13"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Computer Science A","47","47","38"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Computer Science Principles","148","148","117"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Economics: Micro","65","65","51"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Eng. Language & Comp","343","343","244"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Eng. Literature & Comp","69","69","63"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Environmental Science","278","278","232"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","European History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","French Language","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Geography: Human","205","205","178"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","German Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Gov. & Pol. U.S.","102","102","99"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Japanese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Latin: Vergil","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Physics 1","212","212","156"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Physics C: Elec & Magnetism","46","46","31"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Physics C: Mechanics","49","49","43"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Precalculus","324","324","322"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Psychology","244","244","219"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Spanish Language","26","26","25"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","Statistics","90","90","80"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","U.S. History","208","208","202"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","4556","North Gwinnett High School","World History","402","402","350"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","667","Gwinnett County","5550","Duluth High School","ALL Subjects","584","1264","892"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Biology","27","27","17"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Calculus A","48","48","27"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Calculus BC","19","19","15"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Capstone","28","28","28"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Capstone Research","12","12","12"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Chemistry","28","28","23"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Computer Science A","56","56","35"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Computer Science Principles","51","51","25"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Economics: Micro","81","81","45"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Eng. Language & Comp","73","73","43"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Eng. Literature & Comp","63","63","50"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Environmental Science","61","61","41"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Geography: Human","60","60","37"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Gov. & Pol. U.S.","97","97","82"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Physics 1","47","47","23"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Physics C: Elec & Magnetism","16","16","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Physics C: Mechanics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Precalculus","85","85","72"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Psychology","60","60","31"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Spanish Language","39","39","37"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Spanish Literature","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","Statistics","19","19","11"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","U.S. History","138","138","110"
"AP COUNTS","2023-24","SCHOOL","667","Gwinnett County","5550","Duluth High School","World History","115","115","86"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","667","Gwinnett County","ALL","All Schools","ALL Subjects","16217","35411","25835"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","African American Studies","99","99","98"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Art History","90","90","72"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Art: Studio 2-D Design","193","193","175"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Art: Studio 3-D Design","77","77","62"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Art: Studio Drawing","104","104","93"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Biology","1374","1374","1117"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Calculus A","1282","1282","770"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Calculus BC","1034","1034","748"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Capstone","834","834","762"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Capstone Research","313","313","266"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Chemistry","521","521","393"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Chinese Lang. & Culture","70","70","67"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Computer Science A","662","662","393"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Computer Science Principles","1397","1397","957"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Economics: Macro","411","411","334"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Economics: Micro","1743","1743","1132"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Eng. Language & Comp","2633","2633","1575"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Eng. Literature & Comp","1100","1100","846"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Environmental Science","1366","1366","901"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","European History","76","76","69"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","French Language","103","103","56"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Geography: Human","2326","2326","1652"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","German Language","36","36","28"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Gov. & Pol. Comp","75","75","68"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Gov. & Pol. U.S.","1980","1980","1567"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Japanese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Latin: Vergil","23","23","20"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Music Theory","88","88","52"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Physics 1","1341","1341","553"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Physics 2","103","103","37"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Physics C: Elec & Magnetism","196","196","149"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Physics C: Mechanics","361","361","286"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Precalculus","2658","2658","2373"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Psychology","2245","2245","1514"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Spanish Language","634","634","575"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Spanish Literature","57","57","46"
"AP COUNTS","2023-24","DISTRICT","667","Gwinnett County","ALL","All Schools","Statistics","1319","1319","871"
