School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
JACK P NIX ELEMENTARY SCHOOL,Georgia,Jack P Nix Elementary School,White County,30528,1-Regular school,2-No,34.598300,-83.770000,Elementary,Kindergarten,5th Grade,396,224,120,44,268,331,†,†,65,183,213,0,0,32,10,329,0,25,396,13.80
JACKSON COUNTY HIGH SCHOOL,Georgia,Jackson County High School,Jackson County,30548,1-Regular school,2-No,34.113033,-83.686782,High,9th Grade,12th Grade,2042,722,216,145,867,†,2042,†,†,1061,981,8,77,395,209,1269,3,81,2042,19.86
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Fulton County,30327,1-Regular school,2-No,33.873300,-84.422900,Elementary,Prekindergarten,5th Grade,493,77,29,11,88,368,†,48,77,260,233,2,32,42,125,258,2,32,493,11.77
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Fulton County,30076,1-Regular school,2-No,34.011200,-84.318400,Elementary,Prekindergarten,5th Grade,541,351,156,27,378,413,†,54,74,276,265,0,5,286,105,120,0,25,541,11.44
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Gwinnett County,30043,1-Regular school,2-No,33.988300,-84.061400,Elementary,Prekindergarten,5th Grade,1459,931,335,135,1066,1237,†,11,211,728,731,2,244,551,411,180,2,69,1459,13.37
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Butts County,30233,1-Regular school,2-No,33.273445,-83.963535,Elementary,Prekindergarten,5th Grade,559,559,246,0,559,418,†,44,97,303,256,1,2,44,206,260,1,45,559,14.26
JACKSON HIGH SCHOOL,Georgia,Jackson High School,Butts County,30233,1-Regular school,2-No,33.289100,-83.983000,High,9th Grade,12th Grade,1071,694,224,0,694,†,1071,†,†,546,525,1,5,56,361,591,1,56,1071,16.97
JACKSON ROAD ELEMENTARY SCHOOL,Georgia,Jackson Road Elementary School,Spalding County,30223,1-Regular school,2-No,33.255700,-84.240000,Elementary,Prekindergarten,5th Grade,359,357,142,0,357,263,†,34,62,168,191,0,3,40,94,192,1,29,359,13.20
JACOB G. SMITH ELEMENTARY SCHOOL,Georgia,Jacob G. Smith Elementary School,Chatham County,31405,1-Regular school,2-No,32.036500,-81.101200,Elementary,Prekindergarten,5th Grade,468,206,76,32,238,373,†,28,67,241,227,0,10,33,210,180,1,34,468,12.75
JAMES JACKSON ELEMENTARY SCHOOL,Georgia,James Jackson Elementary School,Clayton County,30236,1-Regular school,2-No,33.545800,-84.340700,Elementary,Prekindergarten,5th Grade,652,622,214,0,622,491,†,53,108,346,306,0,21,101,502,6,0,22,652,13.31
JAMESTOWN ELEMENTARY SCHOOL,Georgia,Jamestown Elementary School,Richmond County,30815,1-Regular school,2-No,33.392800,-82.093700,Elementary,Prekindergarten,5th Grade,387,387,214,0,387,284,†,48,55,188,199,0,2,20,336,11,0,18,387,11.94
JANE MACON MIDDLE,Georgia,Jane Macon Middle,Glynn County,31523,1-Regular school,2-No,31.261665,-81.562465,Middle,6th Grade,8th Grade,757,551,273,77,628,757,†,†,†,387,370,0,11,132,270,298,2,44,757,14.07
JASPER COUNTY HIGH SCHOOL,Georgia,Jasper County High School,Jasper County,31064,1-Regular school,2-No,33.336400,-83.714300,High,9th Grade,12th Grade,753,440,194,59,499,†,753,†,†,402,351,1,1,74,157,477,0,43,753,16.41
JASPER COUNTY MIDDLE SCHOOL,Georgia,Jasper County Middle School,Jasper County,31064,1-Regular school,2-No,33.318500,-83.688700,Middle,6th Grade,8th Grade,634,357,170,47,404,634,†,†,†,316,318,0,2,62,113,430,0,27,634,13.93
JASPER COUNTY PRIMARY SCHOOL,Georgia,Jasper County Primary School,Jasper County,31064,1-Regular school,2-No,33.308000,-83.702600,Elementary,Prekindergarten,2nd Grade,663,447,175,42,489,366,†,124,173,353,310,0,1,72,91,465,0,34,663,12.75
JASPER MIDDLE SCHOOL,Georgia,Jasper Middle School,Pickens County,30143,1-Regular school,2-No,34.468100,-84.433500,Middle,5th Grade,6th Grade,586,324,137,65,389,586,†,†,†,287,299,4,2,39,3,529,0,9,586,12.23
JEAN CHILDS YOUNG MIDDLE SCHOOL,Georgia,Jean Childs Young Middle School,Fulton County,30311,1-Regular school,2-No,33.732700,-84.489500,Middle,6th Grade,8th Grade,656,638,298,0,638,656,†,†,†,329,327,0,2,56,591,0,3,4,656,10.79
JEFF DAVIS ELEMENTARY SCHOOL,Georgia,Jeff Davis Elementary School,Jeff Davis County,31539,1-Regular school,2-No,31.863500,-82.609900,Elementary,3rd Grade,5th Grade,697,568,474,0,568,697,†,†,†,368,329,1,7,156,109,388,0,36,697,14.20
JEFF DAVIS HIGH SCHOOL,Georgia,Jeff Davis High School,Jeff Davis County,31539,1-Regular school,2-No,31.868000,-82.614000,High,9th Grade,12th Grade,846,521,234,14,535,†,846,†,†,431,415,0,7,200,132,486,0,21,846,17.09
