School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
HERITAGE ACADEMY ELEMENTARY SCHOOL,Georgia,Heritage Academy Elementary School,Fulton County,30354,1-Regular school,2-No,33.658800,-84.378600,Elementary,Prekindergarten,5th Grade,412,412,214,0,412,343,†,21,48,226,186,1,0,13,390,0,0,8,412,9.98
HERMAN J. RUSSELL WEST END ACADEMY,Georgia,Herman J. Russell West End Academy,Fulton County,30310,1-Regular school,2-No,33.734100,-84.421100,Middle,6th Grade,8th Grade,366,366,190,0,366,366,†,†,†,208,158,1,2,9,349,0,0,5,366,10.08
HIGH POINT ELEMENTARY SCHOOL,Georgia,High Point Elementary School,Fulton County,30342,1-Regular school,2-No,33.899200,-84.370000,Elementary,Prekindergarten,5th Grade,668,345,136,38,383,512,†,47,109,343,325,0,38,183,230,175,0,42,668,13.47
HILLSIDE CONANT SCHOOL,Georgia,Hillside Conant School,Fulton County,30306,1-Regular school,2-No,33.790300,-84.365400,Other,1st Grade,12th Grade,66,63,3,0,63,24,42,†,†,14,52,0,0,1,21,42,0,2,66,6.00
INTERNATIONAL COMMUNITY SCHOOL,Georgia,International Community School,DeKalb County,30033,1-Regular school,1-Yes,33.802700,-84.290100,Elementary,Kindergarten,5th Grade,473,295,162,39,334,387,†,†,86,235,238,0,159,25,180,84,1,24,473,15.26
IVY PREPARATORY ACADEMY- INC,Georgia,Ivy Preparatory Academy- Inc,DeKalb County,30317,1-Regular school,1-Yes,33.745907,-84.327940,Elementary,Kindergarten,8th Grade,459,364,152,0,364,404,†,†,55,0,459,0,0,26,420,0,0,13,459,11.77
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Fulton County,30327,1-Regular school,2-No,33.873300,-84.422900,Elementary,Prekindergarten,5th Grade,493,77,29,11,88,368,†,48,77,260,233,2,32,42,125,258,2,32,493,11.77
JEAN CHILDS YOUNG MIDDLE SCHOOL,Georgia,Jean Childs Young Middle School,Fulton County,30311,1-Regular school,2-No,33.732700,-84.489500,Middle,6th Grade,8th Grade,656,638,298,0,638,656,†,†,†,329,327,0,2,56,591,0,3,4,656,10.79
JOHN LEWIS INVICTUS ACADEMY,GEORGIA,John Lewis Invictus Academy,Fulton County,30318,1-Regular school,2-No,33.774616,-84.447932,Middle,6th Grade,8th Grade,738,738,395,0,738,738,†,†,†,413,325,1,0,64,669,0,0,4,738,11.37
JOHN ROBERT LEWIS ELEMENTARY SCHOOL,GEORGIA,John Robert Lewis Elementary School,DeKalb County,30319,1-Regular school,2-No,33.862726,-84.315457,Elementary,Prekindergarten,5th Grade,873,734,279,0,734,704,†,58,111,461,412,4,15,810,33,8,0,3,873,14.48
JOHN WESLEY DOBBS ELEMENTARY SCHOOL,Georgia,John Wesley Dobbs Elementary School,Fulton County,30315,1-Regular school,2-No,33.698300,-84.372500,Elementary,Prekindergarten,5th Grade,310,310,147,0,310,253,†,22,35,162,148,1,1,37,268,1,0,2,310,8.16
JOSEPH HUMPHRIES ELEMENTARY SCHOOL,Georgia,Joseph Humphries Elementary School,Fulton County,30315,1-Regular school,2-No,33.671966,-84.376446,Elementary,Prekindergarten,5th Grade,259,259,134,0,259,200,†,20,39,128,131,1,0,30,227,1,0,0,259,12.57
JUDSON PRICE MIDDLE SCHOOL,Georgia,Judson Price Middle School,Fulton County,30315,1-Regular school,2-No,33.708900,-84.387400,Middle,6th Grade,8th Grade,271,271,140,0,271,271,†,†,†,141,130,0,0,9,262,0,0,0,271,11.29
KELLEY LAKE ELEMENTARY SCHOOL,Georgia,Kelley Lake Elementary School,DeKalb County,30032,1-Regular school,2-No,33.715900,-84.283900,Elementary,Prekindergarten,5th Grade,233,233,123,0,233,175,†,26,32,115,118,0,0,37,184,0,0,12,233,9.91
KINDEZI OLD 4TH WARD,GEORGIA,Kindezi Old 4th Ward,Fulton County,30308,1-Regular school,1-Yes,33.768200,-84.374561,Elementary,Kindergarten,8th Grade,385,297,142,0,297,343,†,†,42,214,171,1,0,11,349,11,0,13,385,9.37
KIPP ATLANTA COLLEGIATE CHARTER SCHOOL,Georgia,Kipp Atlanta Collegiate Charter School,Fulton County,30314,1-Regular school,1-Yes,33.756200,-84.451200,High,9th Grade,12th Grade,832,571,260,0,571,†,832,†,†,430,402,0,0,12,811,0,1,8,832,13.89
