School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,source_file
KITTREDGE MAGNET SCHOOL,Georgia,Kittredge Magnet School,DeKalb County,30329,1-Regular school,2-No,33.826636,-84.327816,Middle,4th Grade,6th Grade,551.0,38,13,7,45,551,†,†,†,298.0,253.0,6.0,134.0,28.0,58.0,290.0,2.0,33.0,551.0,15.52,ELSI_NCES_GA_school_data.csv
L. O. KIMBERLY ELEMENTARY SCHOOL,Georgia,L. O. Kimberly Elementary School,Fulton County,30311,1-Regular school,2-No,33.7019,-84.4901,Elementary,Prekindergarten,5th Grade,300.0,300,144,0,300,236,†,21,43,153.0,147.0,0.0,0.0,17.0,282.0,0.0,0.0,1.0,300.0,10.10,ELSI_NCES_GA_school_data.csv
LAKESIDE HIGH SCHOOL,Georgia,Lakeside High School,DeKalb County,30345,1-Regular school,2-No,33.8453,-84.2848,High,9th Grade,12th Grade,2186.0,980,315,90,1070,†,2186,†,†,1132.0,1054.0,7.0,83.0,938.0,406.0,674.0,1.0,77.0,2186.0,17.15,ELSI_NCES_GA_school_data.csv
LAUREL RIDGE ELEMENTARY SCHOOL,Georgia,Laurel Ridge Elementary School,DeKalb County,30033,1-Regular school,2-No,33.8154,-84.276,Elementary,Prekindergarten,5th Grade,440.0,182,72,11,193,335,†,45,60,231.0,209.0,3.0,40.0,86.0,99.0,174.0,1.0,37.0,440.0,11.89,ELSI_NCES_GA_school_data.csv
LIBERATION ACADEMY,GEORGIA,Liberation Academy,Fulton County,30337,1-Regular school,1-Yes,33.660719,-84.445933,Middle,5th Grade,8th Grade,76.0,†,†,†,†,76,†,†,†,42.0,34.0,1.0,0.0,0.0,74.0,1.0,0.0,0.0,76.0,9.50,ELSI_NCES_GA_school_data.csv
M. A. JONES ELEMENTARY SCHOOL,Georgia,M. A. Jones Elementary School,Fulton County,30314,1-Regular school,2-No,33.7485,-84.4218,Elementary,Prekindergarten,5th Grade,481.0,481,207,0,481,373,†,37,71,245.0,236.0,0.0,3.0,7.0,459.0,3.0,1.0,8.0,481.0,13.36,ELSI_NCES_GA_school_data.csv
MAIN STREET CHARTER ACADEMY,Georgia,Main Street Charter Academy,Fulton County,30337,1-Regular school,1-Yes,33.641596,-84.481704,Elementary,Kindergarten,8th Grade,831.0,471,11,92,563,764,†,†,67,433.0,398.0,5.0,2.0,34.0,750.0,19.0,0.0,21.0,831.0,16.62,ELSI_NCES_GA_school_data.csv
MARGARET HARRIS COMPREHENSIVE SCHOOL,Georgia,Margaret Harris Comprehensive School,DeKalb County,30329,1-Regular school,2-No,33.8294,-84.3209,Other,Prekindergarten,12th Grade,76.0,63,20,1,64,43,31,1,1,49.0,27.0,0.0,9.0,9.0,46.0,8.0,1.0,3.0,76.0,4.90,ELSI_NCES_GA_school_data.csv
MARTIN L. KING JR. MIDDLE SCHOOL,Georgia,Martin L. King Jr. Middle School,Fulton County,30312,1-Regular school,2-No,33.7386,-84.3806,Middle,6th Grade,8th Grade,801.0,745,320,0,745,801,†,†,†,414.0,387.0,2.0,4.0,53.0,597.0,117.0,0.0,28.0,801.0,13.81,ELSI_NCES_GA_school_data.csv
MARY LIN ELEMENTARY SCHOOL,Georgia,Mary Lin Elementary School,DeKalb County,30307,1-Regular school,2-No,33.7696,-84.3403,Elementary,Kindergarten,5th Grade,509.0,22,6,2,24,445,†,†,64,254.0,255.0,1.0,19.0,29.0,43.0,379.0,0.0,38.0,509.0,14.34,ELSI_NCES_GA_school_data.csv
MAYNARD JACKSON HIGH SCHOOL,Georgia,Maynard Jackson High School,Fulton County,30316,1-Regular school,2-No,33.7393,-84.3619,High,9th Grade,12th Grade,1551.0,728,429,74,802,†,1551,†,†,772.0,779.0,2.0,10.0,133.0,1084.0,279.0,4.0,39.0,1551.0,13.46,ELSI_NCES_GA_school_data.csv
MCLENDON ELEMENTARY SCHOOL,Georgia,McLendon Elementary School,DeKalb County,30033,1-Regular school,2-No,33.8041,-84.2618,Elementary,Prekindergarten,5th Grade,317.0,307,107,0,307,242,†,34,41,158.0,159.0,3.0,30.0,50.0,196.0,17.0,0.0,21.0,317.0,11.20,ELSI_NCES_GA_school_data.csv
MCNAIR HIGH SCHOOL,Georgia,McNair High School,DeKalb County,30316,1-Regular school,2-No,33.705,-84.326,High,9th Grade,12th Grade,776.0,776,375,0,776,†,776,†,†,387.0,389.0,4.0,1.0,46.0,712.0,5.0,1.0,7.0,776.0,16.34,ELSI_NCES_GA_school_data.csv
MCNAIR MIDDLE SCHOOL,Georgia,McNair Middle School,Fulton County,30032,1-Regular school,2-No,33.593976,-84.484237,Middle,6th Grade,8th Grade,886.0,886,353,0,886,886,†,†,†,481.0,405.0,0.0,3.0,50.0,814.0,1.0,0.0,18.0,886.0,15.94,ELSI_NCES_GA_school_data.csv
METRO REGIONAL YOUTH DETENTION CENTER,Georgia,Metro Regional Youth Detention Center,DeKalb County,30316,4-Alternative Education School,2-No,33.69,-84.3361,High,5th Grade,12th Grade,29.0,26,26,0,26,4,25,†,†,23.0,6.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,29.0,5.80,ELSI_NCES_GA_school_data.csv
MICHAEL R. HOLLIS INNOVATION ACADEMY,GEORGIA,Michael R. Hollis Innovation Academy,Fulton County,30314,1-Regular school,2-No,33.76076,-84.41205,Elementary,Prekindergarten,8th Grade,633.0,633,302,0,633,540,†,33,60,322.0,311.0,6.0,1.0,24.0,584.0,2.0,4.0,12.0,633.0,10.02,ELSI_NCES_GA_school_data.csv
MIDTOWN HIGH SCHOOL,Georgia,Midtown High School,Fulton County,30309,1-Regular school,2-No,33.7806,-84.3714,High,9th Grade,12th Grade,1658.0,399,235,43,442,†,1658,†,†,843.0,815.0,12.0,38.0,141.0,589.0,772.0,1.0,105.0,1658.0,15.60,ELSI_NCES_GA_school_data.csv
MILES ELEMENTARY SCHOOL,Georgia,Miles Elementary School,Fulton County,30331,1-Regular school,2-No,33.7557,-84.5259,Elementary,Prekindergarten,5th Grade,468.0,468,235,0,468,378,†,30,60,236.0,232.0,0.0,1.0,35.0,422.0,5.0,0.0,5.0,468.0,10.56,ELSI_NCES_GA_school_data.csv
MONTCLAIR ELEMENTARY SCHOOL,Georgia,Montclair Elementary School,DeKalb County,30329,1-Regular school,2-No,33.8477,-84.32,Elementary,Prekindergarten,5th Grade,633.0,513,196,0,513,488,†,43,102,358.0,275.0,3.0,5.0,549.0,66.0,5.0,0.0,5.0,633.0,15.18,ELSI_NCES_GA_school_data.csv
MONTGOMERY ELEMENTARY SCHOOL,Georgia,Montgomery Elementary School,DeKalb County,30319,1-Regular school,2-No,33.9097,-84.3323,Elementary,Prekindergarten,5th Grade,697.0,100,26,13,113,528,†,43,126,365.0,332.0,1.0,70.0,77.0,100.0,371.0,0.0,78.0,697.0,16.32,ELSI_NCES_GA_school_data.csv
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,Morningside Elementary School,Houston County,30305,1-Regular school,2-No,32.4643,-83.7105,Elementary,Prekindergarten,5th Grade,484.0,436,202,0,436,371,†,44,69,239.0,245.0,1.0,7.0,28.0,310.0,111.0,1.0,26.0,484.0,13.44,ELSI_NCES_GA_school_data.csv
MORRIS BRANDON ELEMENTARY SCHOOL,Georgia,Morris Brandon Elementary School,Fulton County,30327,1-Regular school,2-No,33.83,-84.4156,Elementary,Prekindergarten,5th Grade,895.0,150,62,19,169,709,†,23,163,451.0,444.0,1.0,28.0,84.0,214.0,523.0,0.0,45.0,895.0,14.14,ELSI_NCES_GA_school_data.csv
MUSEUM SCHOOL AVONDALE ESTATES,Georgia,Museum School Avondale Estates,DeKalb County,30002,1-Regular school,1-Yes,33.768903,-84.271127,Elementary,Kindergarten,8th Grade,587.0,183,79,34,217,528,†,†,59,305.0,282.0,0.0,24.0,45.0,194.0,284.0,1.0,39.0,587.0,12.49,ELSI_NCES_GA_school_data.csv
NARVIE HARRIS ELEMENTARY SCHOOL,Georgia,Narvie Harris Elementary School,DeKalb County,30034,1-Regular school,2-No,33.6668,-84.2266,Elementary,Prekindergarten,5th Grade,565.0,384,147,0,384,425,†,56,84,280.0,285.0,3.0,0.0,14.0,539.0,1.0,0.0,8.0,565.0,16.47,ELSI_NCES_GA_school_data.csv
NORTH ATLANTA HIGH SCHOOL,Georgia,North Atlanta High School,Fulton County,30327,1-Regular school,2-No,33.8668,-84.4456,High,9th Grade,12th Grade,2332.0,665,269,89,754,†,2332,†,†,1143.0,1189.0,11.0,54.0,563.0,864.0,719.0,2.0,119.0,2332.0,15.43,ELSI_NCES_GA_school_data.csv
OAK GROVE ELEMENTARY SCHOOL,Georgia,Oak Grove Elementary School,Fayette County,30345,1-Regular school,2-No,33.379931,-84.543958,Elementary,Prekindergarten,5th Grade,466.0,154,45,28,182,365,†,46,55,249.0,217.0,0.0,57.0,78.0,73.0,222.0,0.0,36.0,466.0,11.80,ELSI_NCES_GA_school_data.csv
OAK VIEW ELEMENTARY,Georgia,Oak View Elementary,DeKalb County,30034,1-Regular school,2-No,33.6799,-84.2689,Elementary,Prekindergarten,5th Grade,701.0,701,353,0,701,546,†,53,102,370.0,331.0,6.0,0.0,48.0,613.0,5.0,1.0,28.0,701.0,16.81,ELSI_NCES_GA_school_data.csv
OAKHURST ELEMENTARY SCHOOL,Georgia,Oakhurst Elementary School,DeKalb County,30030,1-Regular school,2-No,33.7637,-84.306,Elementary,Prekindergarten,2nd Grade,256.0,29,22,1,30,149,†,30,77,144.0,112.0,2.0,17.0,16.0,36.0,149.0,0.0,36.0,256.0,10.45,ELSI_NCES_GA_school_data.csv
PARKLANE ELEMENTARY SCHOOL,Georgia,Parklane Elementary School,Fulton County,30344,1-Regular school,2-No,33.6784,-84.4249,Elementary,Prekindergarten,5th Grade,313.0,313,155,0,313,225,†,31,57,162.0,151.0,2.0,2.0,88.0,193.0,11.0,0.0,17.0,313.0,11.22,ELSI_NCES_GA_school_data.csv
PARKSIDE ELEMENTARY SCHOOL,Georgia,Parkside Elementary School,Fulton County,30312,1-Regular school,2-No,33.7351,-84.3647,Elementary,Prekindergarten,5th Grade,603.0,276,159,15,291,460,†,52,91,322.0,281.0,1.0,9.0,36.0,294.0,212.0,0.0,51.0,603.0,13.52,ELSI_NCES_GA_school_data.csv
PAUL D. WEST MIDDLE SCHOOL,Georgia,Paul D. West Middle School,Fulton County,30344,1-Regular school,2-No,33.6886,-84.4656,Middle,6th Grade,8th Grade,804.0,804,356,0,804,804,†,†,†,418.0,386.0,3.0,1.0,296.0,475.0,12.0,3.0,14.0,804.0,12.27,ELSI_NCES_GA_school_data.csv
PAUL L. DUNBAR ELEMENTARY SCHOOL,Georgia,Paul L. Dunbar Elementary School,Fulton County,30312,1-Regular school,2-No,33.741544,-84.401347,Elementary,Prekindergarten,5th Grade,250.0,250,142,0,250,202,†,22,26,127.0,123.0,2.0,0.0,4.0,239.0,0.0,0.0,5.0,250.0,8.90,ELSI_NCES_GA_school_data.csv
PEACE ACADEMY CHARTER SCHOOL,GEORGIA,PEACE Academy Charter School,DeKalb County,30316,1-Regular school,1-Yes,33.734336,-84.283576,Elementary,Kindergarten,3rd Grade,133.0,90,60,6,96,82,†,†,51,57.0,76.0,0.0,0.0,5.0,127.0,0.0,0.0,1.0,133.0,13.57,ELSI_NCES_GA_school_data.csv
PEACHCREST ELEMENTARY SCHOOL,GEORGIA,Peachcrest Elementary School,DeKalb County,30032,1-Regular school,2-No,33.74757,-84.245561,Elementary,Prekindergarten,5th Grade,660.0,660,324,0,660,504,†,71,85,350.0,310.0,7.0,16.0,62.0,524.0,16.0,1.0,34.0,660.0,13.41,ELSI_NCES_GA_school_data.csv
PEYTON FOREST ELEMENTARY SCHOOL,Georgia,Peyton Forest Elementary School,Fulton County,30311,1-Regular school,2-No,33.7487,-84.4788,Elementary,Prekindergarten,5th Grade,309.0,309,120,0,309,243,†,23,43,152.0,157.0,1.0,2.0,31.0,272.0,1.0,0.0,2.0,309.0,9.06,ELSI_NCES_GA_school_data.csv
R. N. FICKETT ELEMENTARY SCHOOL,Georgia,R. N. Fickett Elementary School,Fulton County,30331,1-Regular school,2-No,33.6975,-84.5171,Elementary,Prekindergarten,5th Grade,477.0,457,225,0,457,388,†,30,59,249.0,228.0,5.0,0.0,13.0,446.0,1.0,1.0,11.0,477.0,12.52,ELSI_NCES_GA_school_data.csv
RAINBOW ELEMENTARY SCHOOL,Georgia,Rainbow Elementary School,DeKalb County,30034,1-Regular school,2-No,33.7049,-84.2251,Elementary,Prekindergarten,5th Grade,319.0,319,163,0,319,260,†,21,38,164.0,155.0,0.0,3.0,21.0,285.0,0.0,0.0,10.0,319.0,12.46,ELSI_NCES_GA_school_data.csv
RALPH BUNCHE MIDDLE SCHOOL,Georgia,Ralph Bunche Middle School,Fulton County,30331,1-Regular school,2-No,33.7013,-84.5307,Middle,6th Grade,8th Grade,712.0,640,302,0,640,712,†,†,†,374.0,338.0,3.0,0.0,27.0,669.0,2.0,1.0,10.0,712.0,11.99,ELSI_NCES_GA_school_data.csv
RANDOLPH ELEMENTARY SCHOOL,Georgia,Randolph Elementary School,Fulton County,30331,1-Regular school,2-No,33.7048,-84.5609,Elementary,Prekindergarten,5th Grade,509.0,509,188,0,509,408,†,44,57,234.0,275.0,1.0,1.0,12.0,469.0,0.0,0.0,26.0,509.0,14.22,ELSI_NCES_GA_school_data.csv
RESURGENCE HALL CHARTER SCHOOL,GEORGIA,Resurgence Hall Charter School,Fulton County,30344,1-Regular school,1-Yes,33.674837,-84.44417,Elementary,Kindergarten,4th Grade,407.0,249,124,60,309,323,†,†,84,192.0,215.0,0.0,0.0,10.0,390.0,5.0,0.0,2.0,407.0,16.28,ELSI_NCES_GA_school_data.csv
RESURGENCE HALL MIDDLE ACADEMY,GEORGIA,Resurgence Hall Middle Academy,Fulton County,30344,1-Regular school,1-Yes,33.675301,-84.444493,Middle,5th Grade,8th Grade,133.0,75,42,16,91,133,†,†,†,70.0,63.0,0.0,0.0,3.0,128.0,1.0,0.0,1.0,133.0,14.78,ELSI_NCES_GA_school_data.csv
RIDGEVIEW CHARTER SCHOOL,Georgia,Ridgeview Charter School,Fulton County,30342,1-Regular school,2-No,33.898218,-84.359291,Middle,6th Grade,8th Grade,963.0,470,205,42,512,963,†,†,†,473.0,490.0,1.0,26.0,444.0,181.0,272.0,1.0,38.0,963.0,12.08,ELSI_NCES_GA_school_data.csv
RISE PREPARATORY CHARTER SCHOOL,GEORGIA,RISE Preparatory Charter School,Fulton County,30344,1-Regular school,1-Yes,33.676625,-84.473753,Elementary,Kindergarten,8th Grade,457.0,402,212,52,454,420,†,†,37,230.0,227.0,4.0,1.0,51.0,387.0,4.0,0.0,10.0,457.0,9.76,ELSI_NCES_GA_school_data.csv
ROBERT SHAW THEME SCHOOL,Georgia,Robert Shaw Theme School,DeKalb County,30079,1-Regular school,2-No,33.7862,-84.2547,Elementary,Prekindergarten,5th Grade,314.0,270,100,0,270,252,†,21,41,155.0,159.0,1.0,6.0,10.0,291.0,5.0,0.0,1.0,314.0,11.38,ELSI_NCES_GA_school_data.csv
RONALD E MCNAIR DISCOVER LEARNING ACADEMY ELEMENTARY SCHOOL,Georgia,Ronald E McNair Discover Learning Academy Elementary School,DeKalb County,30032,1-Regular school,2-No,33.72728,-84.306811,Elementary,Prekindergarten,5th Grade,531.0,345,289,0,345,396,†,62,73,268.0,263.0,1.0,1.0,16.0,493.0,8.0,0.0,12.0,531.0,13.62,ELSI_NCES_GA_school_data.csv
SAGAMORE HILLS ELEMENTARY SCHOOL,Georgia,Sagamore Hills Elementary School,DeKalb County,30345,1-Regular school,2-No,33.8332,-84.3038,Elementary,Prekindergarten,5th Grade,428.0,124,38,18,142,342,†,34,52,211.0,217.0,1.0,23.0,94.0,78.0,198.0,0.0,34.0,428.0,11.82,ELSI_NCES_GA_school_data.csv
SANDTOWN MIDDLE SCHOOL,Georgia,Sandtown Middle School,Fulton County,30331,1-Regular school,2-No,33.6998,-84.5611,Middle,6th Grade,8th Grade,1004.0,551,244,87,638,1004,†,†,†,547.0,457.0,5.0,4.0,32.0,931.0,2.0,0.0,30.0,1004.0,15.61,ELSI_NCES_GA_school_data.csv
SARA RAWSON SMITH ELEMENTARY SCHOOL,Georgia,Sara Rawson Smith Elementary School,Fulton County,30342,1-Regular school,2-No,33.8582,-84.3755,Elementary,Prekindergarten,5th Grade,875.0,292,124,21,313,689,†,49,137,421.0,454.0,1.0,64.0,188.0,288.0,266.0,0.0,68.0,875.0,12.76,ELSI_NCES_GA_school_data.csv
SLAM ACADEMY OF ATLANTA,GEORGIA,SLAM Academy of Atlanta,Fulton County,30331,1-Regular school,1-Yes,33.689241,-84.496613,Elementary,Kindergarten,8th Grade,192.0,122,141,0,122,157,†,†,35,113.0,79.0,0.0,0.0,6.0,183.0,0.0,0.0,3.0,192.0,15.87,ELSI_NCES_GA_school_data.csv
